Date (UTC),test_data (kWh),Type
01/01/2021 00:00,36.9,Actual
01/01/2021 00:30,35.7,Actual
01/01/2021 01:00,38.3,Actual
01/01/2021 01:30,33.4,Actual
01/01/2021 02:00,32.2,Actual
01/01/2021 02:30,28.9,Actual
01/01/2021 03:00,29,Actual
01/01/2021 03:30,29.4,Actual
01/01/2021 04:00,32.2,Actual
01/01/2021 04:30,32,Actual
01/01/2021 05:00,33.9,Actual
01/01/2021 05:30,44.1,Actual
01/01/2021 06:00,61.7,Actual
01/01/2021 06:30,82.9,Actual
01/01/2021 07:00,92.5,Actual
01/01/2021 07:30,112.7,Actual
01/01/2021 08:00,124,Actual
01/01/2021 08:30,106.5,Actual
01/01/2021 09:00,109.9,Actual
01/01/2021 09:30,128.3,Actual
01/01/2021 10:00,120.2,Actual
01/01/2021 10:30,116.5,Actual
01/01/2021 11:00,121.5,Actual
01/01/2021 11:30,122,Actual
01/01/2021 12:00,101,Actual
01/01/2021 12:30,99.1,Actual
01/01/2021 13:00,104,Actual
01/01/2021 13:30,87.6,Actual
01/01/2021 14:00,80.5,Actual
01/01/2021 14:30,73.2,Actual
01/01/2021 15:00,92.2,Actual
01/01/2021 15:30,105,Actual
01/01/2021 16:00,114,Actual
01/01/2021 16:30,100.1,Actual
01/01/2021 17:00,92.2,Actual
01/01/2021 17:30,90.9,Actual
01/01/2021 18:00,95.2,Actual
01/01/2021 18:30,95.6,Actual
01/01/2021 19:00,77.3,Actual
01/01/2021 19:30,91.6,Actual
01/01/2021 20:00,80.8,Actual
01/01/2021 20:30,74.8,Actual
01/01/2021 21:00,65.1,Actual
01/01/2021 21:30,60.6,Actual
01/01/2021 22:00,55.2,Actual
01/01/2021 22:30,52.2,Actual
01/01/2021 23:00,55.1,Actual
01/01/2021 23:30,44,Actual
02/01/2021 00:00,40.5,Actual
02/01/2021 00:30,38.7,Actual
02/01/2021 01:00,31.1,Actual
02/01/2021 01:30,30.4,Actual
02/01/2021 02:00,38.3,Actual
02/01/2021 02:30,37.6,Actual
02/01/2021 03:00,35.5,Actual
02/01/2021 03:30,44.2,Actual
02/01/2021 04:00,40.2,Actual
02/01/2021 04:30,39.7,Actual
02/01/2021 05:00,44,Actual
02/01/2021 05:30,53.3,Actual
02/01/2021 06:00,78.3,Actual
02/01/2021 06:30,95.9,Actual
02/01/2021 07:00,124.2,Actual
02/01/2021 07:30,130.9,Actual
02/01/2021 08:00,133.1,Actual
02/01/2021 08:30,128.7,Actual
02/01/2021 09:00,131.3,Actual
02/01/2021 09:30,138.4,Actual
02/01/2021 10:00,148.5,Actual
02/01/2021 10:30,133.4,Actual
02/01/2021 11:00,133.3,Actual
02/01/2021 11:30,118.1,Actual
02/01/2021 12:00,118.1,Actual
02/01/2021 12:30,127.9,Actual
02/01/2021 13:00,142,Actual
02/01/2021 13:30,123.6,Actual
02/01/2021 14:00,110,Actual
02/01/2021 14:30,123.8,Actual
02/01/2021 15:00,124.3,Actual
02/01/2021 15:30,144.4,Actual
02/01/2021 16:00,150.5,Actual
02/01/2021 16:30,135.8,Actual
02/01/2021 17:00,120.4,Actual
02/01/2021 17:30,126.2,Actual
02/01/2021 18:00,103.6,Actual
02/01/2021 18:30,104.9,Actual
02/01/2021 19:00,85.9,Actual
02/01/2021 19:30,83.2,Actual
02/01/2021 20:00,83.7,Actual
02/01/2021 20:30,77.4,Actual
02/01/2021 21:00,74.2,Actual
02/01/2021 21:30,71.2,Actual
02/01/2021 22:00,65.3,Actual
02/01/2021 22:30,58.5,Actual
02/01/2021 23:00,54.3,Actual
02/01/2021 23:30,49,Actual
03/01/2021 00:00,43.9,Actual
03/01/2021 00:30,38,Actual
03/01/2021 01:00,40.7,Actual
03/01/2021 01:30,40.3,Actual
03/01/2021 02:00,48.5,Actual
03/01/2021 02:30,41.1,Actual
03/01/2021 03:00,37.9,Actual
03/01/2021 03:30,37.1,Actual
03/01/2021 04:00,37.4,Actual
03/01/2021 04:30,33.7,Actual
03/01/2021 05:00,40.3,Actual
03/01/2021 05:30,48.6,Actual
03/01/2021 06:00,78.5,Actual
03/01/2021 06:30,111.2,Actual
03/01/2021 07:00,125.8,Actual
03/01/2021 07:30,128.2,Actual
03/01/2021 08:00,146,Actual
03/01/2021 08:30,129,Actual
03/01/2021 09:00,131.9,Actual
03/01/2021 09:30,149.3,Actual
03/01/2021 10:00,147.5,Actual
03/01/2021 10:30,139.9,Actual
03/01/2021 11:00,143.6,Actual
03/01/2021 11:30,136.6,Actual
03/01/2021 12:00,129.8,Actual
03/01/2021 12:30,135.7,Actual
03/01/2021 13:00,126,Actual
03/01/2021 13:30,111,Actual
03/01/2021 14:00,108.4,Actual
03/01/2021 14:30,127.6,Actual
03/01/2021 15:00,123.9,Actual
03/01/2021 15:30,131.2,Actual
03/01/2021 16:00,134.4,Actual
03/01/2021 16:30,117.5,Actual
03/01/2021 17:00,117.9,Actual
03/01/2021 17:30,119.5,Actual
03/01/2021 18:00,98.9,Actual
03/01/2021 18:30,92,Actual
03/01/2021 19:00,67.7,Actual
03/01/2021 19:30,69.7,Actual
03/01/2021 20:00,70,Actual
03/01/2021 20:30,58.9,Actual
03/01/2021 21:00,50.5,Actual
03/01/2021 21:30,57.5,Actual
03/01/2021 22:00,54.8,Actual
03/01/2021 22:30,55.3,Actual
03/01/2021 23:00,54.7,Actual
03/01/2021 23:30,45.8,Actual
04/01/2021 00:00,40.8,Actual
04/01/2021 00:30,36.8,Actual
04/01/2021 01:00,42.4,Actual
04/01/2021 01:30,40.7,Actual
04/01/2021 02:00,38.8,Actual
04/01/2021 02:30,37.2,Actual
04/01/2021 03:00,38.2,Actual
04/01/2021 03:30,559.2,Actual
04/01/2021 04:00,564.2,Actual
04/01/2021 04:30,567.3,Actual
04/01/2021 05:00,573.4,Actual
04/01/2021 05:30,579.7,Actual
04/01/2021 06:00,617.2,Actual
04/01/2021 06:30,682.3,Actual
04/01/2021 07:00,728.3,Actual
04/01/2021 07:30,781.4,Actual
04/01/2021 08:00,819.5,Actual
04/01/2021 08:30,806.4,Actual
04/01/2021 09:00,842.3,Actual
04/01/2021 09:30,869.6,Actual
04/01/2021 10:00,871.8,Actual
04/01/2021 10:30,857.7,Actual
04/01/2021 11:00,870.3,Actual
04/01/2021 11:30,847.9,Actual
04/01/2021 12:00,832.4,Actual
04/01/2021 12:30,840.9,Actual
04/01/2021 13:00,853.6,Actual
04/01/2021 13:30,839.6,Actual
04/01/2021 14:00,818.6,Actual
04/01/2021 14:30,822.3,Actual
04/01/2021 15:00,817.6,Actual
04/01/2021 15:30,827.8,Actual
04/01/2021 16:00,819.1,Actual
04/01/2021 16:30,798.5,Actual
04/01/2021 17:00,769.5,Actual
04/01/2021 17:30,741.5,Actual
04/01/2021 18:00,711.8,Actual
04/01/2021 18:30,687,Actual
04/01/2021 19:00,668.2,Actual
04/01/2021 19:30,635.8,Actual
04/01/2021 20:00,621.9,Actual
04/01/2021 20:30,605.6,Actual
04/01/2021 21:00,607.1,Actual
04/01/2021 21:30,598.8,Actual
04/01/2021 22:00,595.6,Actual
04/01/2021 22:30,585.9,Actual
04/01/2021 23:00,583.8,Actual
04/01/2021 23:30,579.2,Actual
05/01/2021 00:00,571.5,Actual
05/01/2021 00:30,563.3,Actual
05/01/2021 01:00,566.8,Actual
05/01/2021 01:30,563.9,Actual
05/01/2021 02:00,563.3,Actual
05/01/2021 02:30,563.5,Actual
05/01/2021 03:00,564.9,Actual
05/01/2021 03:30,565,Actual
05/01/2021 04:00,571.5,Actual
05/01/2021 04:30,573.5,Actual
05/01/2021 05:00,582.4,Actual
05/01/2021 05:30,591,Actual
05/01/2021 06:00,629,Actual
05/01/2021 06:30,679.1,Actual
05/01/2021 07:00,714.4,Actual
05/01/2021 07:30,759.5,Actual
05/01/2021 08:00,811.7,Actual
05/01/2021 08:30,802.4,Actual
05/01/2021 09:00,821.5,Actual
05/01/2021 09:30,865.3,Actual
05/01/2021 10:00,843.4,Actual
05/01/2021 10:30,360,Actual
05/01/2021 11:00,340.3,Actual
05/01/2021 11:30,334.1,Actual
05/01/2021 12:00,317.4,Actual
05/01/2021 12:30,331.1,Actual
05/01/2021 13:00,327.7,Actual
05/01/2021 13:30,321.5,Actual
05/01/2021 14:00,305.1,Actual
05/01/2021 14:30,297.4,Actual
05/01/2021 15:00,295.8,Actual
05/01/2021 15:30,301.8,Actual
05/01/2021 16:00,293.5,Actual
05/01/2021 16:30,264.3,Actual
05/01/2021 17:00,230.7,Actual
05/01/2021 17:30,203.3,Actual
05/01/2021 18:00,182.6,Actual
05/01/2021 18:30,161.7,Actual
05/01/2021 19:00,140.1,Actual
05/01/2021 19:30,117.4,Actual
05/01/2021 20:00,103.7,Actual
05/01/2021 20:30,95.8,Actual
05/01/2021 21:00,91.4,Actual
05/01/2021 21:30,79.6,Actual
05/01/2021 22:00,79.4,Actual
05/01/2021 22:30,65.8,Actual
05/01/2021 23:00,65.1,Actual
05/01/2021 23:30,62.4,Actual
06/01/2021 00:00,51.7,Actual
06/01/2021 00:30,56,Actual
06/01/2021 01:00,56,Actual
06/01/2021 01:30,51.4,Actual
06/01/2021 02:00,54.9,Actual
06/01/2021 02:30,52.9,Actual
06/01/2021 03:00,49.1,Actual
06/01/2021 03:30,48.5,Actual
06/01/2021 04:00,52,Actual
06/01/2021 04:30,54.5,Actual
06/01/2021 05:00,64.6,Actual
06/01/2021 05:30,66.1,Actual
06/01/2021 06:00,109.4,Actual
06/01/2021 06:30,159.5,Actual
06/01/2021 07:00,217.7,Actual
06/01/2021 07:30,261.3,Actual
06/01/2021 08:00,295.8,Actual
06/01/2021 08:30,238.2,Actual
06/01/2021 09:00,191.9,Actual
06/01/2021 09:30,240,Actual
06/01/2021 10:00,236.3,Actual
06/01/2021 10:30,310.8,Actual
06/01/2021 11:00,360.4,Actual
06/01/2021 11:30,333,Actual
06/01/2021 12:00,330.1,Actual
06/01/2021 12:30,343.1,Actual
06/01/2021 13:00,340,Actual
06/01/2021 13:30,328,Actual
06/01/2021 14:00,303.8,Actual
06/01/2021 14:30,294.7,Actual
06/01/2021 15:00,292.8,Actual
06/01/2021 15:30,301.2,Actual
06/01/2021 16:00,295.6,Actual
06/01/2021 16:30,268.2,Actual
06/01/2021 17:00,229.1,Actual
06/01/2021 17:30,203.7,Actual
06/01/2021 18:00,186.1,Actual
06/01/2021 18:30,162.4,Actual
06/01/2021 19:00,136.5,Actual
06/01/2021 19:30,122.6,Actual
06/01/2021 20:00,127.3,Actual
06/01/2021 20:30,97.2,Actual
06/01/2021 21:00,88.9,Actual
06/01/2021 21:30,88.2,Actual
06/01/2021 22:00,81.1,Actual
06/01/2021 22:30,76.4,Actual
06/01/2021 23:00,68.7,Actual
06/01/2021 23:30,62.4,Actual
07/01/2021 00:00,58.1,Actual
07/01/2021 00:30,56.1,Actual
07/01/2021 01:00,60.6,Actual
07/01/2021 01:30,55.3,Actual
07/01/2021 02:00,57.5,Actual
07/01/2021 02:30,58.6,Actual
07/01/2021 03:00,55.6,Actual
07/01/2021 03:30,53.6,Actual
07/01/2021 04:00,58.9,Actual
07/01/2021 04:30,59.5,Actual
07/01/2021 05:00,67.5,Actual
07/01/2021 05:30,77.1,Actual
07/01/2021 06:00,122.9,Actual
07/01/2021 06:30,156.2,Actual
07/01/2021 07:00,208.7,Actual
07/01/2021 07:30,245.9,Actual
07/01/2021 08:00,289.2,Actual
07/01/2021 08:30,316,Actual
07/01/2021 09:00,318.7,Actual
07/01/2021 09:30,357.1,Actual
07/01/2021 10:00,343.4,Actual
07/01/2021 10:30,345.7,Actual
07/01/2021 11:00,345.9,Actual
07/01/2021 11:30,332.5,Actual
07/01/2021 12:00,327,Actual
07/01/2021 12:30,336.2,Actual
07/01/2021 13:00,319.8,Actual
