ReadDate,Reading,ConsumptionProfileDate,ProfileDateConsumption,H0030,H0100,H0130,H0200,H0230,H0300,H0330,H0400,H0430,H0500,H0530,H0600,H0630,H0700,H0730,H0800,H0830,H0900,H0930,H01000,H01030,H01100,H01130,H01200,H01230,H01300,H01330,H01400,H01430,H01500,H01530,H01600,H01630,H01700,H01730,H01800,H01830,H01900,H01930,H02000,H02030,H02100,H02130,H02200,H02230,H02300,H02330,H02400,ReportingUnit
02/02/2022,989322,02/02/2022,4158.2971,100.0043,77.7813,88.8922,66.6692,77.7813,77.7813,77.7813,77.7813,77.7813,88.8922,88.666,77.5833,99.7498,88.666,99.7498,99.7498,88.666,88.666,88.666,77.5833,88.666,88.666,88.666,88.666,77.5833,88.666,88.666,99.7498,88.666,77.5833,88.666,77.5833,99.7498,88.666,88.666,88.666,99.7498,88.666,99.7498,77.5833,88.666,77.5833,88.666,88.666,77.5833,77.5833,99.7498,77.5833,KWh
21/06/2022,1030363,21/06/2022,1116.8418,22.5623,22.5623,22.5623,22.5623,11.2817,22.5623,33.8441,11.2817,22.5623,22.5623,22.5623,22.5623,33.8441,11.2817,33.8441,22.5623,22.5623,22.5623,22.5623,33.8441,22.5623,22.5623,22.5623,22.5623,22.5623,22.5623,22.5623,22.5623,22.5623,22.5623,22.5623,22.5623,22.5623,22.5623,22.5623,22.5623,33.8441,22.5623,33.8441,22.5623,33.8441,22.5623,33.8441,22.5623,22.5623,11.2817,22.5623,11.2817,KWh
11/02/2022,993224,11/02/2022,5377.9927,88.8922,111.1153,111.1153,100.0043,100.0043,88.8922,100.0043,111.1153,122.2274,100.0043,122.2274,122.2274,122.2274,133.3384,122.2274,133.3384,122.2274,122.2274,122.2274,122.2274,111.1153,111.1153,100.0043,111.1153,100.0043,88.8922,111.1153,111.1153,100.0043,111.1153,100.0043,111.1153,111.1153,111.1153,111.1153,111.1153,111.1153,111.1153,111.1153,122.2274,111.1153,122.2274,122.2274,111.1153,111.1153,122.2274,111.1153,122.2274,KWh
15/11/2022,1054863,15/11/2022,4324.5166,77.9792,77.9792,89.1184,77.9792,89.1184,89.1184,77.9792,89.1184,77.9792,89.1184,77.7813,100.0043,88.8922,88.8922,88.8922,88.8922,88.8922,88.8922,88.8922,100.0043,77.7813,100.0043,77.7813,88.8922,88.8922,88.8922,88.8922,77.7813,77.7813,88.8922,77.7813,77.7813,88.8922,100.0043,88.8922,111.1153,100.0043,111.1153,111.1153,100.0043,100.0043,100.0043,111.1153,88.8922,88.8922,100.0043,88.8922,88.8922,KWh
05/02/2022,990585,05/02/2022,4810.4585,100.7677,111.9635,100.7677,78.375,111.9635,89.5708,100.7677,89.5708,111.9635,100.7677,110.5498,110.5498,110.5498,99.4954,121.6053,99.4954,110.5498,110.5498,110.5498,110.5498,99.4954,110.5498,88.4399,99.4954,77.3854,99.4954,99.4954,99.4954,99.4954,99.4954,99.4954,88.4399,99.4954,110.5498,88.4399,99.4954,110.5498,99.4954,99.4954,99.4954,99.4954,99.4954,99.4954,88.4399,99.4954,88.4399,88.4399,88.4399,KWh
02/09/2022,1036914,02/09/2022,1035.2725,11.2535,22.5058,22.5058,22.5058,11.2535,22.5058,22.5058,11.2535,22.5058,22.5058,22.5058,22.5058,11.2535,22.5058,33.7592,22.5058,22.5058,22.5058,22.5058,22.5058,22.5058,22.5058,22.5058,22.5058,22.5058,22.5058,22.5058,11.2535,22.5058,22.5058,22.5058,22.5058,11.2535,22.5058,22.5058,22.5058,22.5058,22.5058,22.5058,33.7592,22.5058,22.5058,33.7592,22.5058,22.5058,11.2535,22.5058,22.5058,KWh
12/01/2022,979983,12/01/2022,4905.8803,99.2409,99.2409,99.2409,88.2137,99.2409,99.2409,99.2409,99.2409,99.2409,110.2671,110.5498,110.5498,110.5498,110.5498,110.5498,110.5498,99.4954,99.4954,110.5498,99.4954,88.4399,99.4954,99.4954,88.4399,77.3854,99.4954,88.4399,88.4399,99.4954,66.3299,99.4954,121.6053,110.5498,110.5498,110.5498,99.4954,110.5498,121.6053,110.5498,110.5498,110.5498,99.4954,110.5498,110.5498,99.4954,110.5498,99.4954,99.4954,KWh
23/05/2022,1027033,23/05/2022,1342.4706,22.5623,22.5623,22.5623,22.5623,33.8441,22.5623,22.5623,22.5623,22.5623,22.5623,33.8441,33.8441,33.8441,22.5623,22.5623,33.8441,22.5623,33.8441,22.5623,22.5623,33.8441,22.5623,22.5623,22.5623,33.8441,22.5623,22.5623,22.5623,22.5623,22.5623,33.8441,22.5623,22.5623,33.8441,33.8441,22.5623,33.8441,33.8441,33.8441,33.8441,33.8441,45.1247,33.8441,33.8441,33.8441,33.8441,33.8441,22.5623,KWh
12/06/2022,1029488,12/06/2022,1104.9938,22.5058,22.5058,22.5058,22.5058,22.5058,22.5058,22.5058,22.5058,22.5058,22.5058,11.2817,22.5623,22.5623,22.5623,22.5623,11.2817,22.5623,22.5623,33.8441,33.8441,22.5623,22.5623,22.5623,22.5623,22.5623,22.5623,22.5623,22.5623,11.2817,22.5623,22.5623,22.5623,22.5623,33.8441,11.2817,22.5623,22.5623,22.5623,33.8441,33.8441,22.5623,22.5623,33.8441,22.5623,22.5623,22.5623,22.5623,22.5623,KWh
21/10/2022,1046480,21/10/2022,3414.8972,66.4995,66.4995,66.4995,66.4995,77.5833,66.4995,55.4168,66.4995,77.5833,66.4995,67.3477,78.5729,89.797,78.5729,67.3477,89.797,89.797,78.5729,78.5729,78.5729,67.3477,67.3477,78.5729,78.5729,67.3477,78.5729,67.3477,67.3477,56.1237,67.3477,78.5729,67.3477,56.1237,56.1237,78.5729,67.3477,67.3477,78.5729,78.5729,78.5729,67.3477,78.5729,67.3477,67.3477,67.3477,67.3477,67.3477,56.1237,KWh
